Date,Close,Volume,Open,High,Low
07/01/2021,45.41,18658010,45.48,45.64,44.97
06/30/2021,45.29,18168080,44.62,45.385,44.45
06/29/2021,44.79,39534030,46.04,46.38,44.6
06/28/2021,45.79,27127540,46,46.07,45.09
06/25/2021,46.38,49074750,45.57,46.65,45.22
06/24/2021,45.18,27951010,44.26,45.42,44.21
06/23/2021,43.96,18778500,43.5,44.31,43.5
06/22/2021,43.54,26455220,43.41,43.871,42.855
06/21/2021,43.28,26444700,42.295,43.31,42.23
06/18/2021,41.75,61292240,41.68,42.31,41.47
06/17/2021,42.79,48910370,45.79,45.96,42.655
06/16/2021,45.57,38287680,44.95,45.96,44.32
06/15/2021,45.46,23865420,45.2,45.72,44.995
06/14/2021,45.15,25452270,45.61,45.88,44.8399
06/11/2021,45.68,19389340,45.18,45.69,45.18
06/10/2021,45.09,21640010,46.47,46.65,45.013
06/09/2021,45.92,22617510,46.24,46.34,45.631
06/08/2021,46.61,21271670,46.74,47.01,46.3032
06/07/2021,47.11,16644280,47.1,47.18,46.775
06/04/2021,46.96,18190340,47.06,47.1,46.51
06/03/2021,46.46,20206430,46.69,47,46.35
06/02/2021,46.81,18492640,47.38,47.46,46.58
06/01/2021,47.26,17878630,47.16,47.41,46.79
05/28/2021,46.72,15762250,46.85,46.88,46.28
05/27/2021,46.76,42572890,46.99,47.38,46.31
05/26/2021,46.4,26170630,46.11,46.595,45.6
05/25/2021,46.09,29415310,46.39,47.02,46.035
05/24/2021,46.24,25707430,46,46.51,45.755
05/21/2021,45.88,27312660,45.97,46.3,45.776
05/20/2021,45.73,26106960,46.07,46.1808,45.27
05/19/2021,46.17,28911120,45.94,46.32,45.365
05/18/2021,46.86,24125960,47.9,48.13,46.83
05/17/2021,47.9,25147400,46.92,47.98,46.8
05/14/2021,46.96,17078540,46.6,47.11,46.47
05/13/2021,46.4,23556160,45.49,46.79,45.31
05/12/2021,45.64,33392860,46.83,47.16,45.475
05/11/2021,45.72,31478530,46.02,46.8829,45.51
05/10/2021,46.6,28193070,46.84,47.35,46.59
05/07/2021,46.54,25140360,45.93,46.62,45.55
